,D,VT,VP,J,ID
184,10.29563,True,True,4,30
185,2.0,True,True,5,30
186,2.236068,True,True,0,31
187,2.236068,True,True,1,31
188,29.017237,True,True,2,31
189,2.236068,True,True,3,31
190,6.708204,True,True,4,31
191,3.1622777,True,True,5,31
192,1.4142135,True,True,0,32
193,1.4142135,True,True,1,32
194,121.08262,True,True,2,32
195,131.65485,True,True,3,32
196,24.758837,True,True,4,32
197,28.42534,True,True,5,32
198,0.0,True,True,0,33
199,1.0,True,True,1,33
200,5.8309517,True,True,2,33
201,3.1622777,True,True,3,33
202,1.0,True,True,4,33
203,3.0,True,True,5,33
204,2.828427,True,True,0,34
205,3.0,True,True,1,34
206,3.1622777,True,True,2,34
207,2.0,True,True,3,34
208,3.0,True,True,4,34
209,4.472136,True,True,5,34
210,3.1622777,True,True,0,35
211,2.0,True,True,1,35
212,5.3851647,True,True,2,35
213,3.6055512,True,True,3,35
214,1.0,True,True,4,35
215,1.0,True,True,5,35
216,3.0,True,True,0,36
217,3.6055512,True,True,1,36
218,3.0,True,True,2,36
219,3.0,True,True,3,36
220,2.828427,True,True,4,36
221,1.0,True,True,5,36
222,2.236068,True,True,0,37
223,0.0,True,True,1,37
224,14.866069,True,True,2,37
225,0.0,True,True,3,37
226,2.828427,True,True,4,37
227,3.6055512,True,True,5,37
